Fecha,ralenti_total_h,ralenti_h_sim,reduccion
2025-03-29,1045.2613172043011,1073.3321365634067,-28.0708193591056
2025-03-30,637.6984408602151,652.4112381165728,-14.712797256357703
2025-03-31,1180.588405017921,1211.6230365890083,-31.034631571087175
2025-04-01,1089.3685092592593,1118.6559841696535,-29.287474910394167
2025-04-02,1100.7099722222222,1129.909799432497,-29.19982721027486
2025-04-03,1091.5371666666667,1137.5428832885304,-46.00571662186371
2025-04-04,1210.209824074074,1234.0608157215395,-23.850991647465435
2025-04-05,1102.6096666666667,1150.988392558457,-48.37872589179028
2025-04-06,814.3587037037037,833.6990215693804,-19.340317865676752
2025-04-07,1036.5880925925926,1056.9066184289127,-20.318525836320077
2025-04-08,1371.4767685185186,1401.6503951612904,-30.17362664277175
2025-04-09,1153.386287037037,1191.435474014337,-38.049186977299996
2025-04-10,1108.2911851851852,1126.0703843766,-17.77919919141482
