Fecha,ralenti_total_h,ralenti_h_sim,reduccion,viajes_dia,dist_total_dia,unidades_activas,weekday,month,pred
2025-03-02,385.9051254480287,391.57999931728966,-5.674873869260978,103,103,58,6,3,352.2960824056295
2025-03-03,651.4672311827957,651.4672311827957,0.0,171,171,74,0,3,566.0582956810705
2025-03-04,763.8812903225806,763.8812903225806,0.0,205,205,78,1,3,710.5707586403306
2025-03-05,1108.6880017921146,1143.4746355820107,-34.78663378989609,358,358,117,2,3,1066.7034786616175
2025-03-06,1308.945358422939,1361.028423269756,-52.0830648468168,425,425,139,3,3,1284.5692676930294
2025-03-07,1203.724659498208,1258.1518476702508,-54.42718817204286,384,384,132,4,3,1187.5781822077613
2025-03-08,916.0635483870968,944.2312133043182,-28.167664917221373,325,325,111,5,3,966.9761250887054
2025-03-09,490.7290501792114,521.4531934737157,-30.724143294504245,185,185,84,6,3,508.7837264047625
2025-03-10,941.2580555555556,1007.7877425968596,-66.52968704130399,386,386,135,0,3,1014.319358374344
2025-03-11,971.4486379928316,1023.7124551971326,-52.26381720430106,371,371,122,1,3,1026.476052988603
2025-03-12,854.1054480286739,906.140777020396,-52.03532899172205,307,307,113,2,3,908.3912051048032
2025-03-13,993.4072491039426,1033.953313598737,-40.54606449479434,364,364,125,3,3,1036.618964827026
2025-03-14,894.3789695340502,927.5900234575012,-33.21105392345112,301,301,118,4,3,931.696405558092
2025-03-15,972.0962186379928,1012.6837068399044,-40.58748820191158,313,313,113,5,3,970.3511997017092
2025-03-16,639.5562096774194,680.1716640318314,-40.61545435441201,267,267,102,6,3,700.7876626815846
2025-03-17,847.5290949820788,875.8474212642942,-28.318326282215367,325,325,118,0,3,901.2737629856956
2025-03-18,1054.1136379928316,1107.7238989588668,-53.61026096603519,346,346,119,1,3,1053.9081440267123
2025-03-19,1051.9999462365593,1099.044336469534,-47.04439023297482,333,333,124,2,3,1059.183052670591
2025-03-20,1089.2650448028674,1138.5411676587305,-49.27612285586292,321,321,119,3,3,1064.565622422025
2025-03-21,1046.6135573476702,1093.1517542989418,-46.53819695127163,318,318,126,4,3,1068.9419308016836
2025-03-22,1040.8591666666666,1090.1768030700632,-49.31763640339659,317,317,115,5,3,1016.5235160228498
2025-03-23,576.8550985663082,610.5034282300734,-33.64832966376514,212,212,90,6,3,611.5369429758367
2025-03-24,1182.4389157706094,1223.5686938470728,-41.12977807646348,437,437,142,0,3,1189.3897250953214
2025-03-25,1273.6059050179213,1313.5033445340505,-39.897439516129,417,417,130,1,3,1259.442107979054
2025-03-26,1161.060170250896,1224.1292689985492,-63.069098747653015,371,371,137,2,3,1144.9066492801337
2025-03-27,1116.4486559139784,1163.1486049880525,-46.69994907407408,378,378,137,3,3,1137.2823479358103
2025-03-28,1122.74041218638,1149.9952699799453,-27.254857793565407,343,343,131,4,3,1126.1431160283328
2025-03-29,1045.2613172043011,1073.3321365634067,-28.0708193591056,325,325,118,5,3,1025.8313046569438
2025-03-30,637.6984408602151,652.4112381165728,-14.712797256357703,217,217,103,6,3,643.1323438840379
2025-03-31,1180.588405017921,1211.6230365890085,-31.03463157108717,469,469,161,0,3,1192.9004834795217
2025-04-01,1089.368509259259,1118.6559841696535,-29.287474910394167,366,366,140,1,4,1127.6627474717925
2025-04-02,1100.7099722222222,1129.909799432497,-29.19982721027486,341,341,129,2,4,1125.446027373263
2025-04-03,1091.5371666666667,1137.5428832885304,-46.00571662186371,386,386,150,3,4,1127.3371252128582
2025-04-04,1210.209824074074,1234.0608157215397,-23.850991647465435,379,379,142,4,4,1207.6593297585168
2025-04-05,1102.6096666666667,1150.988392558457,-48.37872589179028,335,335,127,5,4,1105.3911392286336
2025-04-06,814.3587037037037,833.6990215693804,-19.340317865676752,301,301,118,6,4,853.2943623281825
2025-04-07,1036.5880925925926,1056.906618428913,-20.31852583632008,344,344,138,0,4,1054.32891252771
2025-04-08,1371.4767685185186,1401.6503951612904,-30.17362664277175,463,463,147,1,4,1338.3953261842023
2025-04-09,1153.386287037037,1191.435474014337,-38.0491869773,376,376,130,2,4,1172.5858762429284
2025-04-10,1108.2911851851852,1126.0703843766,-17.77919919141482,353,353,136,3,4,1133.6180076704215
2025-04-11,1305.5842592592592,1330.8013985961768,-25.217139336917626,448,448,150,4,4,1295.836630062077
2025-04-12,1127.385537037037,1152.626741231439,-25.24120419440192,333,333,120,5,4,1091.2588352773755
2025-04-13,929.1815648148148,953.718389443591,-24.53682462877623,303,303,125,6,4,971.75892466289
2025-04-14,1121.4960185185184,1143.741578319679,-22.245559801160653,419,419,156,0,4,1155.8527763073728
2025-04-15,1112.9302037037037,1163.0238285543608,-50.09362485065708,362,362,125,1,4,1097.296268391204
