Ruta,n_obs,var_time,std_time,median_time,mean_time,q25,q75,tiempo_ideal,buffer_recomendado,mean_time_safe,CV,Es_Critica
WM CEDIS CHALCO/BODEGA LAS BRISAS CUAUTLA,118,1862.774518325366,43.15987162081655,0.0,15.296610169491526,0.0,1.0,0.0,55.24463567464519,15.296610169491526,2.8215317735492262,False
WM CEDIS CHALCO/BODEGA LOMA FLORIDA,97,2276.6685996563588,47.71444854188675,0.0,14.474226804123711,0.0,1.0,0.0,61.07449413361505,14.474226804123711,3.2965110459850533,False
WM CEDIS CHALCO/BODEGA LOS REYES,43,2189.3023255813955,46.78998103848083,0.0,22.46511627906977,0.0,1.5,0.0,59.891175729255465,22.46511627906977,2.082783835046248,False
WM CEDIS CHALCO/BODEGA MARTINEZ DE LA TORRE,79,1223.9013307367732,34.98430120406542,0.0,5.708860759493671,0.0,1.0,0.0,44.77990554120373,5.708860759493671,6.1280704991600174,False
WM CEDIS CHALCO/BODEGA MB ACATLAN,93,35668.95535296867,188.86226556135736,0.0,43.81720430107527,0.0,1.0,0.0,241.74369991853743,43.81720430107527,4.31023084594018,False
WM CEDIS CHALCO/BODEGA MB ACATZINGO,117,2234.980106100796,47.275576211198064,0.0,15.051282051282053,0.0,1.0,0.0,60.512737550333526,15.051282051282053,3.140966732941609,False
WM CEDIS CHALCO/BODEGA MB AJALPAN,102,3197.1233741021147,56.54311075720998,0.0,18.81372549019608,0.0,1.0,0.0,72.37518176922877,18.81372549019608,3.005418080893912,False
WM CEDIS CHALCO/BODEGA MB MISANTLA,47,2295.209065679926,47.90834025177585,1.0,15.5531914893617,0.0,1.0,1.0,62.32267552227309,15.5531914893617,3.08029000250816,False
WM CEDIS CHALCO/BODEGA MB TLAPACOYAN,45,3665.2707070707065,60.54147922763951,0.0,25.844444444444445,0.0,1.0,0.0,77.49309341137858,25.844444444444445,2.3425335900634376,False
WM CEDIS CHALCO/BODEGA PANTITLAN,78,908.407092907093,30.13979251599276,0.0,9.73076923076923,0.0,1.0,0.0,38.57893442047073,9.73076923076923,3.097369981880679,False
WM CEDIS CHALCO/BODEGA PINOTEPA PLAZA,21,1317.0285714285717,36.29088827004061,0.0,11.857142857142858,0.0,1.0,0.0,46.45233698565198,11.857142857142858,3.0606773239793283,False
WM CEDIS CHALCO/BODEGA PLAN DE AYALA,88,1476.7983281086729,38.42913384541308,1.0,14.227272727272728,0.0,1.0,1.0,50.18929132212874,14.227272727272728,2.7010892798692896,False
WM CEDIS CHALCO/BODEGA PLAZA CHIMALHUACAN,37,1565.3768768768768,39.564843951125056,1.0,16.89189189189189,0.0,1.0,1.0,51.64300025744007,16.89189189189189,2.342238761906603,False
WM CEDIS CHALCO/BODEGA REAL DE COSTITLAN,32,1326.5645161290322,36.42203338817085,0.5,13.625,0.0,1.0,0.5,47.12020273685869,13.625,2.673176762434558,False
WM CEDIS CHALCO/BODEGA SAN LORENZO,26,77031298.64615385,8776.747612080106,0.0,1728.6153846153843,0.0,1.0,0.0,11234.236943462536,1728.6153846153843,5.077328184275605,False
WM CEDIS CHALCO/BODEGA SOR JUANA,64,1906.641865079365,43.66511038666186,1.0,18.34375,0.0,1.0,1.0,56.89134129492718,18.34375,2.380380804724326,False
WM CEDIS CHALCO/BODEGA TEHUACAN 2,156,4969.97005789909,70.49801456707196,0.0,24.06410256410257,0.0,1.0,0.0,90.23745864585212,24.06410256410257,2.9295925073157227,False
WM CEDIS CHALCO/BODEGA TEMIXCO,21,105975.0619047619,325.53811129384206,1.0,89.52380952380952,1.0,4.0,1.0,417.68878245611785,89.52380952380952,3.636329966580151,False
